site,place_name,date,YYYYMMDD,quadrat,primary_sediment,secondary_sediment
2018_L_01,North Pass,7/11/2018,20180711,1,G,CS
2018_L_01,North Pass,7/11/2018,20180711,2,CS,G
2018_L_01,North Pass,7/11/2018,20180711,3,G,CS
2018_L_01,North Pass,7/11/2018,20180711,4,G,C
2018_L_01,North Pass,7/11/2018,20180711,5,G,CS
2018_L_01,North Pass,7/11/2018,20180711,6,G,C
2018_L_01,North Pass,7/11/2018,20180711,7,G,C
2018_L_01,North Pass,7/11/2018,20180711,8,C,CS
2018_L_02,Natzuhini,7/12/2018,20180712,1,MS,S
2018_L_02,Natzuhini,7/12/2018,20180712,2,MS,C
2018_L_02,Natzuhini,7/12/2018,20180712,3,MS,C
2018_L_02,Natzuhini,7/12/2018,20180712,4,MS,G
2018_L_02,Natzuhini,7/12/2018,20180712,5,MS,G
2018_L_02,Natzuhini,7/12/2018,20180712,6,MS,G
2018_L_02,Natzuhini,7/12/2018,20180712,7,MS,S
2018_L_02,Natzuhini,7/12/2018,20180712,8,MS,S
2018_L_03,Sukkwan,7/13/2018,20180713,1,G,S
2018_L_03,Sukkwan,7/13/2018,20180713,2,S,G
2018_L_03,Sukkwan,7/13/2018,20180713,3,G,S
2018_L_03,Sukkwan,7/13/2018,20180713,4,G,S
2018_L_03,Sukkwan,7/13/2018,20180713,5,G,S
2018_L_03,Sukkwan,7/13/2018,20180713,6,G,S
2018_L_03,Sukkwan,7/13/2018,20180713,7,S,G
2018_L_03,Sukkwan,7/13/2018,20180713,8,G,S
2018_H_01,Kaguk Cove,7/14/2018,20180714,1,S,C
2018_H_01,Kaguk Cove,7/14/2018,20180714,2,S,C
2018_H_01,Kaguk Cove,7/14/2018,20180714,3,S,C
2018_H_01,Kaguk Cove,7/14/2018,20180714,4,C,S
2018_H_01,Kaguk Cove,7/14/2018,20180714,5,C,S
2018_H_01,Kaguk Cove,7/14/2018,20180714,6,C,S
2018_H_01,Kaguk Cove,7/14/2018,20180714,7,C,S
2018_H_01,Kaguk Cove,7/14/2018,20180714,8,C,S
2018_H_02,Gaktu Cove,7/15/2018,20180715,1,MS,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,2,SM,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,3,M,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,4,MS,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,5,G,S
2018_H_02,Gaktu Cove,7/15/2018,20180715,6,S,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,7,MS,G
2018_H_02,Gaktu Cove,7/15/2018,20180715,8,MS,MS
2018_H_03,Nossuk Bay,7/16/2018,20180716,1,SM,SM
2018_H_03,Nossuk Bay,7/16/2018,20180716,2,SM,SM
2018_H_03,Nossuk Bay,7/16/2018,20180716,3,SM,S
2018_H_03,Nossuk Bay,7/16/2018,20180716,4,S,MS
2018_H_03,Nossuk Bay,7/16/2018,20180716,5,S,MS
2018_H_03,Nossuk Bay,7/16/2018,20180716,6,MS,MS
2018_H_03,Nossuk Bay,7/16/2018,20180716,7,MS,S
2018_H_03,Nossuk Bay,7/16/2018,20180716,8,MS,S
